# Error taxonomy for model 640 on the val split at conf 0.21 (assignment section 10.6).
# Generated by src/evaluate/error_gallery.py. Do not edit the first four columns by hand.
# 
# likely_cause, layer and next_experiment are INTENTIONALLY EMPTY. They are filled in
# BY HAND after opening the panels in this directory. A script can see that a box is
# wrong but not why, so any cause written here automatically would be a guess presented
# as a measurement. layer should be one of: data / representation / training /
# threshold / deployment.
# 
# Categories are a partition: each error takes the FIRST matching category in the order duplicate_detection, class_confusion, loose_box, high_conf_false_positive, low_conf_false_positive, missed_small, missed_rare_class, missed_border, missed_other.
# prevalence_pct is a percentage of all 3755 errors (1124 false positives + 2631 misses), so the rows sum to 100.
# One real-world mistake can produce two rows: a wrong-class box is BOTH a spurious detection (class_confusion) AND an object nobody found (a missed_* row). That is the matcher's accounting, not double counting inside a bucket -- see missed_other_5169.png, where a bus predicted as a train appears on both sides.
# example_image_ids are semicolon-separated, most illustrative first (false positives by score, misses by object area).
# Caveat: high_conf_false_positive needs score > 0.5 AND max IoU < 0.3 with any ground truth; 14 confident boxes that graze an object instead sit in low_conf_false_positive, whose median score is 0.29.
# Dense-scene statistic (scene-level, not a category): mean per-image recall 0.2272 in 33 dense images (> 20 objects) vs 0.4045 in 462 sparse images.
category,count,prevalence_pct,example_image_ids,likely_cause,layer,next_experiment
duplicate_detection,161,4.29,23140;15193;6026;569;6846,,,
class_confusion,271,7.22,10303;19158;21097;12422;18367,,,
loose_box,171,4.55,15374;2466;16465;24404;1011,,,
high_conf_false_positive,83,2.21,16903;8429;368;5151;18127,,,
low_conf_false_positive,438,11.66,23434;9668;14257;22651;4265,,,
missed_small,1386,36.91,1144;12897;1011;315;17985,,,
missed_rare_class,73,1.94,18093;5172;17154;8761;16701,,,
missed_border,343,9.13,20460;20207;14248;11703;4980,,,
missed_other,829,22.08,21316;5169;17921;1522;12681,,,
